instance_id,repo,analysis_time,ast_ged,dfg_ged,pdg_ged,cfg_ged,cpg_ged,callgraph_ged,loc_added,loc_deleted,token_distance,cyclomatic_delta,halstead_delta,scope_changes,type_changes,exception_changes
mock-test-1,test/repo,0.026350736618041992,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-2,test/repo,0.01505589485168457,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-3,test/repo,0.011749029159545898,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-4,test/repo,0.01032876968383789,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-5,test/repo,0.00952911376953125,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-6,test/repo,0.009051084518432617,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-7,test/repo,0.008592844009399414,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-8,test/repo,0.008331775665283203,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-9,test/repo,0.009619951248168945,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
mock-test-10,test/repo,0.007845163345336914,16,2.5,2.5,0.0,2.5,0.0,4,0,14,2,2.3571428571428577,0,0,0
