instance_id,repo,analysis_time,ast_ged,dfg_ged,pdg_ged,cfg_ged,cpg_ged,callgraph_ged,loc_added,loc_deleted,token_distance,cyclomatic_delta,halstead_delta,scope_changes,type_changes,exception_changes
astropy__astropy-12907,astropy/astropy,0.0009479522705078125,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
astropy__astropy-13033,astropy/astropy,0.0009548664093017578,0,0.0,0.0,0.0,0.0,0.0,11,3,63,-1,0,0,0,-1
astropy__astropy-13236,astropy/astropy,0.0002257823944091797,0,0.0,0.0,0.0,0.0,0.0,0,7,-1,-1,0,0,0,-1
astropy__astropy-13398,astropy/astropy,0.026074886322021484,2,0.0,1.0,1.0,1.0,0.0,1,0,4,0,0,0,0,0
astropy__astropy-13453,astropy/astropy,0.0005879402160644531,0,0.0,0.0,0.0,0.0,0.0,2,0,14,-1,0,0,0,-1
astropy__astropy-13579,astropy/astropy,0.00022125244140625,0,0.0,0.0,0.0,0.0,0.0,3,1,-1,-1,0,0,0,-1
astropy__astropy-13977,astropy/astropy,0.0004489421844482422,0,0.0,0.0,0.0,0.0,0.0,56,39,5,-1,0,0,0,-1
astropy__astropy-14096,astropy/astropy,0.00021219253540039062,0,0.0,0.0,0.0,0.0,0.0,2,4,-1,-1,0,0,0,-1
astropy__astropy-14182,astropy/astropy,0.0032379627227783203,0,0.5,1.0,0.5,1.5,0.5,31,10,212,-1,0,0,0,-1
astropy__astropy-14309,astropy/astropy,0.00020194053649902344,0,0.0,0.0,0.0,0.0,0.0,2,3,-1,-1,0,0,0,-1
astropy__astropy-14365,astropy/astropy,0.0008189678192138672,0,0.0,0.0,0.0,0.0,0.0,2,2,8,-1,0,0,0,-1
astropy__astropy-14369,astropy/astropy,0.16820096969604492,0,0.0,0.0,0.0,0.0,0.0,2,3,3,-1,0,0,0,-1
astropy__astropy-14508,astropy/astropy,0.03418421745300293,112,29.0,29.0,0.0,29.0,0.0,5,19,83,-4,-2.3939393939393927,3,0,0
astropy__astropy-14539,astropy/astropy,0.00022602081298828125,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
astropy__astropy-14598,astropy/astropy,0.00022864341735839844,0,0.0,0.0,0.0,0.0,0.0,2,2,-1,-1,0,0,0,-1
astropy__astropy-14995,astropy/astropy,0.00022125244140625,0,0.0,0.0,0.0,0.0,0.0,2,2,-1,-1,0,0,0,-1
astropy__astropy-7166,astropy/astropy,0.0005428791046142578,0,0.0,0.0,0.0,0.0,0.0,3,7,3,-1,0,0,0,-1
astropy__astropy-7336,astropy/astropy,0.00034308433532714844,0,0.0,0.0,0.0,0.0,0.0,1,1,6,-1,0,0,0,-1
astropy__astropy-7606,astropy/astropy,0.00022292137145996094,0,0.0,0.0,0.0,0.0,0.0,7,3,-1,-1,0,0,0,-1
astropy__astropy-7671,astropy/astropy,0.0005900859832763672,0,0.5,1.0,0.5,1.5,0.5,9,0,26,-1,0,0,0,-1
astropy__astropy-8707,astropy/astropy,0.006005048751831055,0,0.0,0.0,0.0,0.0,0.0,7,0,51,-1,0,0,0,-1
astropy__astropy-8872,astropy/astropy,0.0002689361572265625,0,0.0,0.0,0.0,0.0,0.0,4,7,-1,-1,0,0,0,-1
