instance_id,repo_name,num_changed_files,scope_size,primary_files,secondary_files,direct_imports,num_files_analyzed,num_context_files,dfg_ged_sum,dfg_ged_avg,dfg_ged_max,ast_ged_sum,ast_ged_avg,ast_ged_max,cfg_ged_sum,cfg_ged_avg,cfg_ged_max,analysis_time,has_errors
astropy__astropy-12907,astropy_astropy,1,59,54,5,0,59,58,861.0,15.105263157894736,98.0,2,0.03508771929824561,2,157.0,2.754385964912281,35.5,997.6274449825287,False
astropy__astropy-13033,astropy_astropy,1,48,42,5,1,48,47,971.0,21.57777777777778,108.5,63,1.4,63,0.0,0.0,0.0,54.78762125968933,False
astropy__astropy-13236,astropy_astropy,1,66,50,5,11,66,65,1926.5,31.581967213114755,1017.5,49,0.8032786885245902,49,60.5,0.9918032786885246,50.0,681.4829728603363,False
astropy__astropy-13398,astropy_astropy,4,40,28,5,7,40,37,447.5,11.1875,74.0,35,0.875,17,3.0,0.075,2.0,131.8000729084015,False
astropy__astropy-13453,astropy_astropy,1,43,36,5,2,43,42,707.0,17.24390243902439,108.0,17,0.4146341463414634,17,181.5,4.426829268292683,55.5,182.9106969833374,False
astropy__astropy-13579,astropy_astropy,1,26,19,5,2,26,25,240.5,10.020833333333334,66.5,28,1.1666666666666667,28,44.0,1.8333333333333333,29.0,51.010507106781006,False
astropy__astropy-13977,astropy_astropy,1,76,66,5,5,76,75,1579.0,21.053333333333335,740.5,448,5.973333333333334,448,293.5,3.9133333333333336,56.0,1228.9278781414032,False
astropy__astropy-14096,astropy_astropy,1,100,108,5,6,100,99,1873.0,18.91919191919192,389.5,18,0.18181818181818182,18,141.0,1.4242424242424243,64.0,1065.949518918991,False
astropy__astropy-14182,astropy_astropy,1,41,36,5,0,41,40,702.5,17.5625,108.0,57,1.425,57,172.5,4.3125,54.5,183.24537205696106,False
astropy__astropy-14309,astropy_astropy,1,73,62,5,6,73,72,1020.0,14.166666666666666,126.5,3,0.041666666666666664,3,63.5,0.8819444444444444,31.5,1194.998111963272,False
astropy__astropy-14365,astropy_astropy,1,43,36,5,2,43,42,676.5,16.107142857142858,108.0,9,0.21428571428571427,9,174.0,4.142857142857143,55.5,190.74460411071777,False
astropy__astropy-14369,astropy_astropy,2,27,17,5,5,27,25,454.0,16.814814814814813,88.5,37,1.3703703703703705,37,24.0,0.8888888888888888,13.0,54.53775715827942,False
