instance_id,repo_name,num_changed_files,scope_size,primary_files,secondary_files,direct_imports,num_files_analyzed,num_context_files,dfg_ged_sum,dfg_ged_avg,dfg_ged_max,ast_ged_sum,ast_ged_avg,ast_ged_max,cfg_ged_sum,cfg_ged_avg,cfg_ged_max,analysis_time,has_errors
django__django-14349,django_django,1,100,99,5,6,100,99,2021.5,21.736559139784948,200.5,35,0.3763440860215054,35,0.0,0.0,0.0,52.67309594154358,False
django__django-14351,django_django,1,48,39,5,4,48,47,911.0,18.979166666666668,123.5,71,1.4791666666666667,71,70.5,1.46875,20.5,395.9886019229889,False
django__django-14373,django_django,1,53,48,5,0,53,52,1101.5,21.182692307692307,108.5,7,0.1346153846153846,7,12.5,0.2403846153846154,12.5,32.93758583068848,False
django__django-14376,django_django,2,63,53,5,5,63,61,950.0,16.964285714285715,101.0,12,0.21428571428571427,12,16.5,0.29464285714285715,16.5,76.4422698020935,False
django__django-14404,django_django,1,53,29,5,19,53,52,895.5,18.275510204081634,125.5,24,0.4897959183673469,24,77.0,1.5714285714285714,64.0,166.77247023582458,False
django__django-14434,django_django,1,62,53,5,4,62,61,1127.0,20.87037037037037,196.0,29,0.5370370370370371,29,16.5,0.3055555555555556,16.5,74.09906125068665,False
django__django-14493,django_django,1,24,15,5,4,24,23,431.0,20.523809523809526,104.0,4,0.19047619047619047,4,0.0,0.0,0.0,13.95356011390686,False
django__django-14500,django_django,1,27,20,5,2,27,26,593.0,21.962962962962962,113.0,32,1.1851851851851851,32,14.5,0.5370370370370371,14.5,66.44495606422424,False
django__django-14534,django_django,1,19,9,5,5,19,18,303.5,15.973684210526315,95.5,12,0.631578947368421,12,29.0,1.5263157894736843,16.5,70.17858409881592,False
django__django-14539,django_django,1,54,48,5,1,54,53,1152.0,21.735849056603772,108.5,30,0.5660377358490566,30,12.5,0.2358490566037736,12.5,32.65347099304199,False
django__django-14559,django_django,1,49,39,5,5,49,48,1288.0,27.404255319148938,562.5,12,0.2553191489361702,12,70.5,1.5,20.5,395.35273909568787,False
django__django-14580,django_django,1,28,19,5,4,28,27,503.5,17.982142857142858,113.0,1,0.03571428571428571,1,14.5,0.5178571428571429,14.5,67.87855100631714,False
django__django-14608,django_django,1,19,9,5,5,19,18,345.0,18.157894736842106,95.5,4,0.21052631578947367,4,29.0,1.5263157894736843,16.5,71.30525588989258,False
django__django-14631,django_django,2,20,9,5,6,20,18,435.0,21.75,120.5,319,15.95,240,30.0,1.5,16.5,71.17717790603638,False
django__django-14672,django_django,1,47,39,5,3,47,46,732.0,15.91304347826087,98.0,5,0.10869565217391304,5,71.0,1.5434782608695652,20.5,394.9415090084076,False
django__django-14725,django_django,1,19,9,5,5,19,18,645.0,33.94736842105263,353.0,45,2.3684210526315788,45,29.0,1.5263157894736843,16.5,70.31339907646179,False
django__django-14752,django_django,1,38,29,5,4,38,37,500.0,14.285714285714286,100.5,44,1.2571428571428571,44,78.5,2.242857142857143,64.0,108.81168007850647,False
django__django-14765,django_django,1,36,19,5,12,36,35,1156.0,32.111111111111114,338.5,37,1.0277777777777777,37,14.5,0.4027777777777778,14.5,108.08405613899231,False
django__django-14771,django_django,1,57,48,5,4,57,56,1325.0,23.660714285714285,149.0,51,0.9107142857142857,51,12.5,0.22321428571428573,12.5,32.758155822753906,False
django__django-14787,django_django,1,53,48,5,0,53,52,1187.5,22.83653846153846,108.5,17,0.3269230769230769,17,12.5,0.2403846153846154,12.5,33.048758029937744,False
django__django-14792,django_django,1,53,48,5,0,53,52,1105.0,21.25,108.5,13,0.25,13,12.5,0.2403846153846154,12.5,32.73577308654785,False
django__django-14855,django_django,1,44,29,5,10,44,43,567.0,13.829268292682928,110.0,9,0.21951219512195122,9,110.0,2.682926829268293,64.0,147.4228880405426,False
django__django-14915,django_django,1,19,9,5,5,19,18,498.5,26.236842105263158,106.0,11,0.5789473684210527,11,29.0,1.5263157894736843,16.5,70.38719582557678,False
django__django-14999,django_django,1,27,19,5,3,27,26,774.0,28.666666666666668,285.0,36,1.3333333333333333,36,14.5,0.5370370370370371,14.5,78.43823194503784,False
django__django-15022,django_django,1,58,29,5,24,58,57,1599.5,29.62037037037037,638.5,25,0.46296296296296297,25,92.0,1.7037037037037037,65.0,157.35798811912537,False
django__django-15037,django_django,1,38,31,5,2,38,37,775.5,20.95945945945946,100.5,62,1.6756756756756757,62,0.0,0.0,0.0,29.388155937194824,False
django__django-15098,django_django,1,15,5,5,5,15,14,242.0,16.133333333333333,88.0,0,0.0,0,0.0,0.0,0.0,11.439052104949951,False
django__django-15103,django_django,2,81,75,5,1,81,79,1728.5,22.16025641025641,142.0,39,0.5,38,77.0,0.9871794871794872,31.5,66.66421914100647,False
django__django-15104,django_django,1,26,19,5,2,26,25,489.0,18.807692307692307,113.0,9,0.34615384615384615,9,14.5,0.5576923076923077,14.5,70.79439425468445,False
django__django-15127,django_django,1,19,13,5,1,19,18,299.0,15.736842105263158,88.0,35,1.8421052631578947,35,4.0,0.21052631578947367,4.0,7.02561092376709,False
django__django-15128,django_django,1,48,39,5,4,48,47,1560.0,32.5,759.5,44,0.9166666666666666,44,74.5,1.5520833333333333,24.0,399.94938683509827,False
django__django-15161,django_django,1,49,39,5,5,49,48,1241.0,25.3265306122449,465.5,30,0.6122448979591837,30,79.5,1.6224489795918366,24.0,402.81685614585876,False
django__django-15252,django_django,1,26,19,5,2,26,25,864.5,33.25,240.5,31,1.1923076923076923,31,14.5,0.5576923076923077,14.5,73.26688480377197,False
django__django-15268,django_django,1,27,19,5,3,27,26,898.5,33.27777777777778,411.5,74,2.740740740740741,74,14.5,0.5370370370370371,14.5,79.68745589256287,False
django__django-15277,django_django,1,56,39,5,12,56,55,1319.5,24.435185185185187,564.0,26,0.48148148148148145,26,74.5,1.3796296296296295,24.0,404.4531452655792,False
django__django-15278,django_django,1,63,54,5,4,63,62,1347.5,24.0625,240.5,8,0.14285714285714285,8,20.5,0.36607142857142855,20.5,73.44775986671448,False
django__django-15280,django_django,1,47,39,5,3,47,46,1025.5,21.819148936170212,250.0,50,1.0638297872340425,50,74.5,1.5851063829787233,24.0,401.80098009109497,False
django__django-15315,django_django,1,56,39,5,12,56,55,1553.0,28.75925925925926,797.5,36,0.6666666666666666,36,74.5,1.3796296296296295,24.0,407.15976190567017,False
django__django-15368,django_django,1,50,39,5,6,50,49,1171.0,24.395833333333332,414.5,3,0.0625,3,74.5,1.5520833333333333,24.0,407.7449789047241,False
django__django-15375,django_django,1,45,39,5,1,45,44,770.0,17.11111111111111,88.0,15,0.3333333333333333,15,74.5,1.6555555555555554,24.0,405.01779198646545,False
django__django-15380,django_django,1,26,19,5,2,26,25,487.0,18.73076923076923,113.0,0,0.0,0,14.5,0.5576923076923077,14.5,71.49951982498169,False
django__django-15382,django_django,1,49,39,5,5,49,48,922.5,18.8265306122449,150.0,51,1.0408163265306123,51,74.5,1.5204081632653061,24.0,407.65790700912476,False
django__django-15467,django_django,1,58,29,5,24,58,57,2056.5,38.083333333333336,955.5,7,0.12962962962962962,7,90.5,1.6759259259259258,65.0,159.33458399772644,False
django__django-15499,django_django,1,27,19,5,3,27,26,873.0,32.333333333333336,384.5,520,19.25925925925926,520,14.5,0.5370370370370371,14.5,79.12007927894592,False
django__django-15503,django_django,1,48,39,5,4,48,47,1040.5,22.138297872340427,335.0,77,1.6382978723404256,77,74.0,1.574468085106383,24.0,406.50016808509827,False
django__django-15525,django_django,1,15,7,5,3,15,14,529.5,35.3,112.5,24,1.6,24,0.0,0.0,0.0,11.785057067871094,False
django__django-15554,django_django,1,48,39,5,4,48,47,1427.5,29.739583333333332,629.0,115,2.3958333333333335,115,74.5,1.5520833333333333,24.0,411.42802000045776,False
django__django-15561,django_django,2,100,93,5,13,100,98,2704.5,29.080645161290324,846.0,52,0.5591397849462365,35,109.5,1.1774193548387097,24.0,505.70946526527405,False
